paper_id,model_id,doi,apa_citation,is_multimodal,modality_visual,modality_auditory,modality_somatosensory,task_type_active,task_type_passive,technique_name,visual_pictures,visual_videos,visual_words,visual_other,auditory_music,auditory_other,technique_clasif_multiple_techniques,technique_clasif_driving,technique_clasif_imagination_techniques_or_memory_recall,technique_clasif_social_interactions,technique_clasif_virtual_reality,technique_clasif_meditation,technique_clasif_reading,technique_clasif_ux,technique_clasif_tactile_enhanced_multimedia_clips,technique_clasif_videogame,technique_clasif_puzzle,technique_clasif_other,technique_description,elicitation_duration,elicitation_duration_range,elicitation_duration_mean,elicitation_duration_median,revisor,comentarios,Unnamed: 36,Unnamed: 37
1,1,,"Zangróniz, R., Martínez-Rodrigo, A., Pastor, J. M., López, M. T., & Fernández-Caballero, A. (2017). Electrodermal Activity Sensor for Classification of Calm/Distress Condition. Sensors (Basel, Switzerland), 17(10), E2324. https://doi.org/10.3390/s17102324
",-,x,-,-,-,x,IAPS,x,,,-,-,-,-,,-,-,-,,,,,,,,"The participant sits in front of the experimentation monitor and the wearable is put in the wrist of the non-dominant hand (see Figure 1). In this regard, the experimentation monitor consists of a high resolution, 28 inch screen. When the technician verifies the proper functioning of the wearable and its communication with the software, the experiment starts. Firstly, the participant has to carefully read the general instructions of the experiment. Then, ten pictures that are labelled with high arousal and low valence are shown consecutively during 6 s each to the participant. Silences consisting of blank images with a fixed duration of 1 s are inserted before each picture used from the database. The pictures are selected randomly from the set of images that fulfil the condition. Therefore, the segment used for subsequent analysis is 70 s long (10 pictures 6 s duration, plus one blank image before each picture). In this sense, a single presentation of many stimuli presented for a short period of time might favour the continuity of emotional state [29]. Afterwards, a distracting task is presented to the participant so that his/her emotional state comes to neutral. Next, the experiment continues by showing randomly another set of ten images from IAPS that fulfil the condition to be part of those previously labelled as low arousal and high valence. Therefore, two segments of data from each individual are finally obtained, one for calm condition and another for distress condition. Again, silences are used before each picture. Lastly, the distracting task is offered again.",6s,-,-,-,,,,
2,1,,"Liu, M., Fan, D., Zhang, X., & Gong, X. (2017). Human Emotion Recognition Based on Galvanic Skin Response Signal Feature Selection and SVM. 157–160. Scopus. https://doi.org/10.1109/ICSCSE.2016.0051
",x,x,x,-,-,x,-,?,,,,?,?,-,,-,-,-,,,,,,,,"All subjects are Junior in Jilin University of
Changchun, China. Materials for eliciting emotions are 4
video fragments cut elaborately from large amounts of
movies representing 4 different emotions, such as happiness,
grief, anger, and fear. Each fragment last 4-5 minutes and
was connected with a short video which also last 4-5
minutes for calm recovery. And we add the emotion when
people stay in calm. So there are 5 emotions that make the
pattern recognition.",-,4-5 m,-,-,,,,
3,1,,"Ayata, D., Yaslan, Y., & Kamasak, M. E. (2018). Emotion Based Music Recommendation System Using Wearable Physiological Sensors. IEEE Transactions on Consumer Electronics, 64(2), 196–203. Scopus. https://doi.org/10.1109/TCE.2018.2844736
",x,x,x,-,-,x,-,-,x,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,,,1m,-,-,-,,,,
4,1,,"Ali, M., Machot, F. A., Mosa, A. H., Jdeed, M., Machot, E. A., & Kyamakya, K. (2018). A Globally Generalized Emotion Recognition System Involving Different Physiological Signals. Sensors (Basel, Switzerland), 18(6), E1905. https://doi.org/10.3390/s18061905",x,x,x,-,-,x,-,-,x,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,,-,34.9s - 117 s,"81,4 s",-,,,,
5,1,,"Wei, J., Chen, T., Liu, G., & Yang, J. (2016). Higher-order Multivariable Polynomial Regression to Estimate Human Affective States. Scientific Reports, 6, 23384. https://doi.org/10.1038/srep23384",-,x,-,-,-,x,IAPS,x,,,-,-,-,-,,-,-,-,,,,,,,,-,6s,-,-,-,,,,
6,1,,"Feng, H., Golshan, H. M., & Mahoor, M. H. (2018). A wavelet-based approach to emotion classification using EDA signals. Expert Systems with Applications, 112, 77–86. Scopus. https://doi.org/10.1016/j.eswa.2018.06.014",x,x,x,-,x,-,Rapid-ABC play protocol,,-,-,,-,,,-,-,x,-,-,-,-,-,-,-,,-,-,3m-5m,-,-,,,,
7,1,,"Schmidt, P., Reiss, A., Duerichen, R., & Van Laerhoven, K. (2018). Introducing WeSAD, a multimodal dataset for wearable stress and affect detection. 400–408. Scopus. https://doi.org/10.1145/3242969.3242985",x,x,x,-,x,x,TSST,-,,,-,-,-,x,,-,x,,x,,,,,,,,-,-,-,-,,,,
8,1,,"Dobbins, C., Fairclough, S., Lisboa, P., & Navarro, F. F. G. (2018). A Lifelogging Platform Towards Detecting Negative Emotions in Everyday Life using Wearable Devices. 306–311. Scopus. https://doi.org/10.1109/PERCOMW.2018.8480180",x,x,x,x,x,-,-,,,,,,,,,,,,,,,,,,,"The intention is to collect data from users in their natural environment, over a prolonged period.",-,-,-,-,,,,
9,1,,"Amalan, S., Shyam, A., Anusha, A. S., Preejith, S. P., Tony, A., Jayaraj, J., & Mohanasankar, S. (2018). Electrodermal Activity based Classification of Induced Stress in a Controlled Setting. MeMeA 2018 - 2018 IEEE International Symposium on Medical Measurements and Applications, Proceedings. Scopus. https://doi.org/10.1109/MeMeA.2018.8438703",x,-,-,,x,-,Trier Social Stress Test (TSST),-,,,-,-,-,x,,-,-,-,-,,,,,,,"A participant is given 3-5 minutes to prepare for a 5-minute presentation, followed by a 5-minute mental arithmetic task of counting numbers backwards continuously in large steps. The unanticipated element is that a large audience enters the room after the preparatory phase trying to induce stress in the form of stage fright. In the end, the participant is briefed and made to relax.",15m,-,-,-,,,,
10,1,,"Machot, F. A., Ali, M., Ranasinghe, S., Mosa, A. H., & Kyandoghere, K. (2018). Improving subject-independent human emotion recognition using electrodermal activity sensors for active and assisted living. 222–228. Scopus. https://doi.org/10.1145/3197768.3201523",x,x,x,-,-,x,-,-,x,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,,-,34.9s - 117 s,"81,4 s",-,,,,
11,1,,"Girardi, D., Lanubile, F., & Novielli, N. (2018). Emotion detection using noninvasive low cost sensors. 2018-January, 125–130. Scopus. https://doi.org/10.1109/ACII.2017.8273589",x,x,x,-,-,x,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,,"Ooi, J. S. K., Ahmad, S. A., Ishak, A. J., Minhad, K. N., Md Ali, S. H., & Chong, Y. Z. (2018). Grove: An auxiliary device for sympathetic assessment via EDA measurement of neutral, stress, and anger emotions during simulated driving conditions. International Journal of Medical Engineering and Informatics, 10(1), 16–29. Scopus. https://doi.org/10.1504/IJMEI.2018.090076",x,x,x,-,x,-,-,-,,,-,-,-,x,x,-,-,-,-,,,,,,,"Precise tuning of driving scenario was performed on speed dreams for neutral, stress,
and anger stimulation. Neutral scenario was tuned to promote casual driving at a speed of
80 km/h (Chen, 2013). Driving track at this speed was composed of a wide circular
roadway with good vision. Stress driving was performed at a snowy mountain track with
narrow road and poor vision. Stress was triggered by causing the vehicle to drift via
sudden turning (Cohen and Wills, 1985; Yamaguchi et al., 2006; Öz et al., 2010; Chen,
2013). Anger stimulation places time constraint on the driver. The drivers also face
demanding situations, such as tailgating, sudden over-taking, and reckless driving
(Stephens and Groeger, 2006; Laing, 2010). Neutral and stress driving were performed
monotonously, whereas angry driving was performed simultaneously with four artificial
intelligence opponents.
The subjects were provided with three minutes of training period to familiarise them
with the control of driving unit. The subjects then performed three sets of control,
driving, and recovery sessions. Each session was composed of a pre-designed
emotion-stimulating scenario. In the control and recovery sessions, the subjects were
required to close their eyes and rest with their palms facing upward",50m,-,-,-,,,,
13,1,,"Setyohadi, D. B., Kusrohmaniah, S., Gunawan, S. B., Pranowo, & Prabuwono, A. S. (2018). Galvanic skin response data classification for emotion detection. International Journal of Electrical and Computer Engineering, 8(5), 4004–4014. Scopus. https://doi.org/10.11591/ijece.v8i5.pp4004-4014",x,x,x,-,x,-,-,-,,,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,,,,
14,1,,"Soleymani, M., & Mortillaro, M. (2018). Behavioral and physiological responses to visual interest and appraisals: Multimodal analysis and automatic recognition. Frontiers in ICT, 5(JUL). Scopus. https://doi.org/10.3389/fict.2018.00017",-,x,-,-,-,x,Flickr,x,-,,-,-,-,-,-,-,-,-,-,,,,,,,"One hundred and thirty-two micro-videos in GIF format from Video2GIF dataset (Gygli et al., 2016) were randomly selected and annotated on similar scales on MTurk. In our experiments, we displayed the images in full screen mode. GIFs do not have adequate resolution when displayed in a full-screen mode. Hence, we extracted the higher quality equivalent from the source YouTube videos and re-encoded them to our desired format (1,920 × 1,080) with no sound. Forty micro-videos were selected to cover the whole spectrum in terms of average interestingness, pleasantness and coping potential. We opted for using GIFs due to their short duration, unimodality (only visual) and higher level of engagement (Bakhshi et al., 2016). GIFs are not always encoded with the same frame rate as the original video and contain loopiness, therefore we re-encoded them in 1.5x speed and repeated the sequence twice. Micro-videos were in average 11 s long.",25m,-,-,-,,,,
14,2,,"Soleymani, M., & Mortillaro, M. (2018). Behavioral and physiological responses to visual interest and appraisals: Multimodal analysis and automatic recognition. Frontiers in ICT, 5(JUL). Scopus. https://doi.org/10.3389/fict.2018.00017",-,x,-,-,-,x,Flickr,-,x,,-,-,-,-,-,-,-,-,-,,,,,,,"One hundred and thirty-two micro-videos in GIF format from Video2GIF dataset (Gygli et al., 2016) were randomly selected and annotated on similar scales on MTurk. In our experiments, we displayed the images in full screen mode. GIFs do not have adequate resolution when displayed in a full-screen mode. Hence, we extracted the higher quality equivalent from the source YouTube videos and re-encoded them to our desired format (1,920 × 1,080) with no sound. Forty micro-videos were selected to cover the whole spectrum in terms of average interestingness, pleasantness and coping potential. We opted for using GIFs due to their short duration, unimodality (only visual) and higher level of engagement (Bakhshi et al., 2016). GIFs are not always encoded with the same frame rate as the original video and contain loopiness, therefore we re-encoded them in 1.5x speed and repeated the sequence twice. Micro-videos were in average 11 s long.",25m,-,-,-,,,,
15,1,,"Md Ali, S. H., Ibne Reaz, M., Ahmad, S. A., Minhad, K. N., & Ooi, J. S. K. (2017). Low cost wearable sensor for human emotion recognition using skin conductance response. IEICE Transactions on Information and Systems, E100D(12), 3010–3017. Scopus. https://doi.org/10.1587/transinf.2017EDP7067",x,x,x,-,-,x,-,x,x,,-,-,-,x,-,-,-,-,-,,,,,,,-,-,-,-,-,,,,
15,2,,"Md Ali, S. H., Ibne Reaz, M., Ahmad, S. A., Minhad, K. N., & Ooi, J. S. K. (2017). Low cost wearable sensor for human emotion recognition using skin conductance response. IEICE Transactions on Information and Systems, E100D(12), 3010–3017. Scopus. https://doi.org/10.1587/transinf.2017EDP7067",-,x,-,-,-,x,-,x,-,,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,,,,
15,3,,"Md Ali, S. H., Ibne Reaz, M., Ahmad, S. A., Minhad, K. N., & Ooi, J. S. K. (2017). Low cost wearable sensor for human emotion recognition using skin conductance response. IEICE Transactions on Information and Systems, E100D(12), 3010–3017. Scopus. https://doi.org/10.1587/transinf.2017EDP7067",-,x,-,-,-,x,-,-,x,,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,,,,
15,4,,"Md Ali, S. H., Ibne Reaz, M., Ahmad, S. A., Minhad, K. N., & Ooi, J. S. K. (2017). Low cost wearable sensor for human emotion recognition using skin conductance response. IEICE Transactions on Information and Systems, E100D(12), 3010–3017. Scopus. https://doi.org/10.1587/transinf.2017EDP7067",x,x,x,-,-,x,-,-,x,,-,-,-,x,-,-,-,-,-,,,,,,,-,-,-,-,-,,,,
15,5,,"Md Ali, S. H., Ibne Reaz, M., Ahmad, S. A., Minhad, K. N., & Ooi, J. S. K. (2017). Low cost wearable sensor for human emotion recognition using skin conductance response. IEICE Transactions on Information and Systems, E100D(12), 3010–3017. Scopus. https://doi.org/10.1587/transinf.2017EDP7067",-,x,x,-,x,-,-,-,-,,-,-,-,-,x,-,-,-,-,,,,,,,-,-,-,-,-,,,,
16,1,,"Wiem, M. B. H., & Lachiri, Z. (2017). Emotion sensing from physiological signals using three defined areas in arousal-valence model. 219–223. Scopus. https://doi.org/10.1109/CADIAG.2017.8075660",x,x,x,-,-,x,-,-,x,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,,-,34.9s - 117 s,"81,4 s",-,,,,
17,1,,"Goshvarpour, A., Abbasi, A., Goshvarpour, A., & Daneshvar, S. (2017). Discrimination between different emotional states based on the chaotic behavior of galvanic skin responses. Signal, Image and Video Processing, 11(7), 1347–1355. Scopus. https://doi.org/10.1007/s11760-017-1092-9",x,x,x,-,-,x,-,-,x,,-,x,-,-,-,-,-,-,-,,,,,,,"Totally, 56 short musical excerpts
(14 stimuli per each category) were selected from Vieillard
et al. [19].",15m,-,-,-,,,,
18,1,,"Keren, G., Kirschstein, T., Marchi, E., Ringeval, F., & Schuller, B. (2017). End-to-end learning for dimensional emotion recognition from physiological signals. 985–990. Scopus. https://doi.org/10.1109/ICME.2017.8019533",x,x,x,,x,-,survival task,-,-,-,-,-,-,-,-,-,x,-,-,,,,,,,,,,15m,,,,,
19,1,,"Hernández-García, A., Fernández-Martínez, F., & Díaz-De-maría, F. (2017). Emotion and attention: Predicting electrodermal activity through video visual descriptors. 914–923. Scopus. https://doi.org/10.1145/3106426.3109418",x,x,x,-,-,x,-,-,x,,-,-,-,-,-,-,-,-,-,,,,,,,"In order to collect ground truth data for the present study, the
EDA was measured on 22 subjects, 10 men and 12 women, with ages
between 21 and 59 years old, while they watched a concantenation
of videos. The data set consists of 44 videos with an average duration
of 44 seconds (σ = 21) which belong to the awarded spots at the 2002
Cannes International Advertising Festival. The whole sequence of
spots was projected in a movie theater while the EDA was recorded
on each subject by means of the Sociograph device",-,-,44s,-,,,,
20,1,,"Wiem, M. B. H., & Lachiri, Z. (2017). Emotion assessing using valence-arousal evaluation based on peripheral physiological signals and support vector machine. 4th International Conference on Control Engineering and Information Technology, CEIT 2016. Scopus. https://doi.org/10.1109/CEIT.2016.7929117",x,x,x,-,-,x,-,-,x,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,,-,34.9s - 117 s,"81,4 s",-,,,,
21,1,,"Xu, Y., Hubener, I., Seipp, A.-K., Ohly, S., & David, K. (2017). From the lab to the real-world: An investigation on the influence of human movement on Emotion Recognition using physiological signals. 345–350. Scopus. https://doi.org/10.1109/PERCOMW.2017.7917586",-,x,-,-,-,x,IAPS,x,-,,-,-,-,-,-,-,-,-,-,,,,,,,"The affective
pictures are presented to the participants in a slide show
presentation, where each emotion group lasts 30 seconds.
To investigate the influence of human movement on emotion
recognition using physiological signals, we measured the physiological
responses of the participants in two scenarios: i) after
the participants have been sitting calmly for a while, and ii)
after the participants have performed physical activity. In the
second scenario, the experiments are repeated four times, with
the participant watching a different set of pictures each time.
The experiments are summarized in Table I.",-,-,-,-,,,,
22,1,,"Nisa’Minhad, K., Ali, S. H. M., Khai, J. O. S., & Ahmad, S. A. (2017). Human emotion classifications for automotive driver using skin conductance response signal. 371–375. Scopus. https://doi.org/10.1109/ICAEES.2016.7888072",x,x,x,-,-,x,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2,,"Nisa’Minhad, K., Ali, S. H. M., Khai, J. O. S., & Ahmad, S. A. (2017). Human emotion classifications for automotive driver using skin conductance response signal. 371–375. Scopus. https://doi.org/10.1109/ICAEES.2016.7888072",-,x,-,-,-,x,-,x,-,,-,-,-,-,-,-,-,-,-,,,,,,,-,5s,-,-,-,,,,
22,3,,"Nisa’Minhad, K., Ali, S. H. M., Khai, J. O. S., & Ahmad, S. A. (2017). Human emotion classifications for automotive driver using skin conductance response signal. 371–375. Scopus. https://doi.org/10.1109/ICAEES.2016.7888072",x,x,x,-,-,x,-,-,x,,-,-,-,-,-,-,-,-,-,,,,,,,-,-,1m-2-m,-,-,,,,
23,1,,"Ayata, D., Yaslan, Y., & Kamasak, M. (2017). Emotion recognition via random forest and galvanic skin response: Comparison of time based feature sets, window sizes and wavelet approaches. 2016 Medical Technologies National Conference, TIPTEKNO 2016. Scopus. https://doi.org/10.1109/TIPTEKNO.2016.7863130",x,x,x,-,-,x,-,-,x,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,,,1m,-,-,-,,,,
24,1,,"Greco, A., Valenza, G., Citi, L., & Scilingo, E. P. (2017). Arousal and valence recognition of affective sounds based on electrodermal activity. IEEE Sensors Journal, 17(3), 716–725. Scopus. https://doi.org/10.1109/JSEN.2016.2623677",-,-,x,-,-,x,IADS,-,-,,-,-,-,-,-,-,-,-,-,,,,,,,"During the
experiment, participants were seated in a comfortable chair
in a controlled environment while listening to the IADS
sounds. Each subject was left alone in the room where the
experiment took place for the whole duration (29 minutes).
The acoustic stimulation was performed by using headphones
while the subject’s eyes were closed, to avoid any kind of
visual interference.
The experimental protocol consisted of 8 sessions: after
an initial resting session of 5 minutes, three arousal sessions
alternated with neutral sessions (see Figure 2). Each arousal
and neutral session was different from the others in regard
to the arousal level (labeled as N (neutral), L (low), M
(medium) and H (high)). We selected four arousal ranges that
were not overlapped. Such levels were set according to the
IADS scores reported in table I. Within each arousing session,
the acoustic stimuli were selected to have both negative and
positive valence. Each neutral session lasted 1 minute and 28
seconds, while the three arousal sessions had a duration of
3 minutes and 40 seconds, 4 minutes, and 5 minutes and 20
seconds, respectively. The different duration of each arousal
session is due to the different length of acoustic stimuli having
the same range of positive and negative valence.",-,1 m 28 s - 5 m 20 s,-,-,,,,
25,1,,"Minhad, K. N., Ali, S. H. M. D., & Reaz, M. B. I. (2017). A design framework for human emotion recognition using electrocardiogram and skin conductance response signals. Journal of Engineering Science and Technology, 12(11), 3102–3119. Scopus.",-,x,-,-,-,x,,x,-,,-,-,-,-,-,-,-,-,-,,,,,,,each picture display contained five pictures and was displayed for 4 seconds each,4s,-,-,-,,,,
25,2,,"Minhad, K. N., Ali, S. H. M. D., & Reaz, M. B. I. (2017). A design framework for human emotion recognition using electrocardiogram and skin conductance response signals. Journal of Engineering Science and Technology, 12(11), 3102–3119. Scopus.",-,x,x,-,-,x,,-,x,,-,-,-,-,-,-,-,-,-,,,,,,,,4s,-,-,-,,,,
25,3,,"Minhad, K. N., Ali, S. H. M. D., & Reaz, M. B. I. (2017). A design framework for human emotion recognition using electrocardiogram and skin conductance response signals. Journal of Engineering Science and Technology, 12(11), 3102–3119. Scopus.",-,-,x,-,-,x,,-,-,,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,,,,
26,1,,"Zhang, Q., Lai, X., & Liu, G. (2016). Emotion recognition of GSR based on an improved quantum neural network. 1, 488–492. Scopus. https://doi.org/10.1109/IHMSC.2016.66",-,,,,x,-,-,,,,,,,,,,,,,,,,,,,"In the experiment, the process of collecting
the signal of the emotions was playing neutral materials
which were to keep mood in peace for 2 minutes,
introducing the materials background and the target
emotion for 30 seconds, and playing the materials of the
target emotion for 5 minutes. If the subject felt that a
corresponding emotion was generated, the button next to
the seat should be pressed to make a mark. Finally, after
collecting the signal of target emotion, the subjects
needed to evaluate the effectiveness of emotion had been
induced, which the type of the emotion had been induced
and intensity of emotion (very strong, strong, weak, very
weak).",,,,,,,,
27,1,,"Goshvarpour, A., Abbasi, A., Goshvarpour, A., & Daneshvar, S. (2016). A novel signal-based fusion approach for accurate music emotion recognition. Biomedical Engineering - Applications, Basis and Communications, 28(6). Scopus. https://doi.org/10.4015/S101623721650040X",-,-,x,-,-,x,-,-,-,,-,x,-,-,-,-,-,-,-,,,,,,,"56 short musical excerpts with 14 stimuli
per each emotional set were selected, which was
alidated by Vieillard et al.36 They consisted of a melody
with accompaniment composed in piano timbre, and
followed the rules of the Western tonal system",15m,-,-,-,,,,
28,1,,"Das, P., Khasnobish, A., & Tibarewala, D. N. (2016). Emotion recognition employing ECG and GSR signals as markers of ANS. 37–42. Scopus. https://doi.org/10.1109/CASP.2016.7746134",-,x,-,-,-,x,-,-,x,,-,-,-,-,-,-,-,-,-,,,,,,,-,2m34s,-,-,-,,,,
29,1,,"Gupta, R., Abadi, M. K., Cabré, J. A. C., Morreale, F., Falk, T. H., & Sebe, N. (2016). A quality adaptive multimodal affect recognition system for user-centric multimedia indexing. 317–320. Scopus. https://doi.org/10.1145/2911996.2912059",-,-,x,-,-,x,Robin,-,-,,-,x,-,-,-,-,-,-,-,,,,,,,"The participants
were asked to listen to music excerpts, originally generated
by Robin [10], an algorithmic composer that generates western
classical-like music with affective connotation in real time. The
stimuli are weakly affective being evident from the fact that facial
expressions in the dataset are negligible if not absent.",-,-,-,-,,,,
30,1,,"Ooi, J. S. K., Ahmad, S. A., Chong, Y. Z., Ali, S. H. M., Ai, G., & Wagatsuma, H. (2016). Driver emotion recognition framework based on electrodermal activity measurements during simulated driving conditions. 365–369. Scopus. https://doi.org/10.1109/IECBES.2016.7843475",x,x,x,-,-,-,"-G25
Logitech steering wheel kit",-,-,,-,-,-,-,x,-,-,-,-,,,,,,,"A driving simulator consisting of a driving unit (G25
Logitech steering wheel kit), a large display, and simulation
software (Speed Dreams) was utilized for emotion stimulation.
Driving scenarios were configured to stimulate three
investigated emotions: neutral, stress, and anger. The neutral
scenario consists of casual driving at a speed of 80 km/h on a
circular roadway with a wide road and good vision [14]. The
stress scenario consists of a snowy mountain track with a
narrow road and poor vision, presumed to trigger sudden
turning, leading to vehicle drifting and impact [8][14][15][16].
Finally, the anger scenario requires the driver to complete a
designated driving task within a time limit. This task was
performed along with four artificial intelligence contestants,
with the aim of triggering aggressive road events, such as
tailgating, sudden overtaking, and reckless driving [17][18].
To further trigger driving anger, the subjects were also
informed that deductions would be made to their reward
money if they failed to accomplish the driving task within the
time frame; the full amount was still given at the end of
experiment",50m,-,-,-,,,,
31,1,,"Goshvarpour, A., Abbasi, A., Goshvarpour, A., & Daneshvar, S. (2016). Fusion framework for emotional electrocardiogram and galvanic skin response recognition: Applying wavelet transform. Iranian Journal of Medical Physics, 13(3), 163–173. Scopus. https://doi.org/10.22038/ijmp.2016.7960",-,-,x,-,-,x,-,-,-,,-,x,-,-,-,-,-,-,-,,,,,,,-,15m,-,-,-,,,,
