paper_id,model_id,doi,apa_citation,is_multimodal,modality_visual,modality_auditory,modality_somatosensory,task_type_active,task_type_passive,technique_name,visual_pictures,visual_videos,visual_words,visual_other,auditory_music,auditory_other,technique_clasif_multiple_techniques,technique_clasif_driving,technique_clasif_imagination_techniques_or_memory_recall,technique_clasif_social_interactions,technique_clasif_virtual_reality,technique_clasif_meditation,technique_clasif_reading,technique_clasif_ux,technique_clasif_tactile_enhanced_multimedia_clips,technique_clasif_videogame,technique_clasif_puzzle,technique_clasif_other,technique_description,elicitation_duration,elicitation_duration_range,elicitation_duration_mean,elicitation_duration_median,revisor,comentarios,Unnamed: 36,Unnamed: 37
32,1,,"Siddharth,  null, Jung, T.-P., & Sejnowski, T. J. (2018). Multi-modal Approach for Affective Computing. Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference, 2018, 291–294. https://doi.org/10.1109/EMBC.2018.8512320",x,x,x,-,-,x,-,-,x,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,,-,,00m 52 s - 23m 58s,,,,,,
33,1,,"Goshvarpour, A., Abbasi, A., & Goshvarpour, A. (2017). An accurate emotion recognition system using ECG and GSR signals and matching pursuit method. Biomedical Journal, 40(6), 355–368. https://doi.org/10.1016/j.bj.2017.11.001",-,-,x,-,-,x,-,-,-,,-,x,-,-,-,-,-,-,-,,,,,,,-,15m,-,-,-,,,,
34,1,,"Dumitriu, T., Cimpanu, C., Ungureanu, F., & Manta, V.-I. (2018). Experimental analysis of emotion classification techniques. 63–70. Scopus. https://doi.org/10.1109/ICCP.2018.8516647",-,x,-,-,-,x,IAPS,x,-,,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,,,,
35,1,,"Ferdinando, H., & Alasaarela, E. (2018). Emotion recognition using cvxEDA-based features. Journal of Telecommunication, Electronic and Computer Engineering, 10(2–3), 19–23. Scopus.",x,x,x,-,-,x,-,-,x,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,,-,34.9s - 117 s,"81,4 s",-,,,,
36,1,,"Zhang, S., Liu, G., & Lai, X. (2015). Classification of evoked emotions using an artificial neural network based on single, short-term physiological signals. Journal of Advanced Computational Intelligence and Intelligent Informatics, 19(1), 118-126.",x,x,x,-,-,x,-,-,x,,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,,,,
37,1,,"Gjoreski, M., Luštrek, M., Gams, M., & Mitrevski, B. (2018). An inter-domain study for arousal recognition from physiological signals. Informatica (Slovenia), 42(1), 61–68. Scopus.",x,x,x,-,-,x,,-,x,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,,-,-,51s –127 s,-,-,,,,
37,2,,"Gjoreski, M., Luštrek, M., Gams, M., & Mitrevski, B. (2018). An inter-domain study for arousal recognition from physiological signals. Informatica (Slovenia), 42(1), 61–68. Scopus.",x,x,x,-,-,x,-,-,x,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,,,1m,-,-,-,,,,
37,3,,"Gjoreski, M., Luštrek, M., Gams, M., & Mitrevski, B. (2018). An inter-domain study for arousal recognition from physiological signals. Informatica (Slovenia), 42(1), 61–68. Scopus.",x,x,x,-,x,-,-,-,-,-,,-,,-,x,-,-,-,-,-,-,-,-,-,,-,30m,-,-,-,,,,
37,4,,"Gjoreski, M., Luštrek, M., Gams, M., & Mitrevski, B. (2018). An inter-domain study for arousal recognition from physiological signals. Informatica (Slovenia), 42(1), 61–68. Scopus.",-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,,,,
37,5,,"Gjoreski, M., Luštrek, M., Gams, M., & Mitrevski, B. (2018). An inter-domain study for arousal recognition from physiological signals. Informatica (Slovenia), 42(1), 61–68. Scopus.",x,x,x,-,-,x,-,-,x,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,,-,34.9s - 117 s,"81,4 s",-,,,,
37,6,,"Gjoreski, M., Luštrek, M., Gams, M., & Mitrevski, B. (2018). An inter-domain study for arousal recognition from physiological signals. Informatica (Slovenia), 42(1), 61–68. Scopus.",x,x,x,-,-,x,-,-,x,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,,-,,00m 52 s - 23m 58s,,,,,,
38,1,,"Ayata, D., Yaslan, Y., & Kamasak, M. (2017). Emotion recognition via galvanic skin response: Comparison of machine learning algorithms and feature extraction methods. Istanbul University - Journal of Electrical and Electronics Engineering, 17, 3129–3136. Scopus.",x,x,x,-,-,x,-,-,x,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,,,1m,-,-,-,,,,
39,1,,"Martínez-Rodrigo, A., Zangróniz, R., Pastor, J. M., & Sokolova, M. V. (2017). Arousal level classification of the aging adult from electro-dermal activity: From hardware development to software architecture. Pervasive and Mobile Computing, 34, 46–59. Scopus. https://doi.org/10.1016/j.pmcj.2016.04.006",-,x,-,-,-,x,IAPS,x,-,,-,-,-,-,-,-,-,-,-,,,,,,,-,9m,-,-,-,,,,
40,1,,"Milchevski, A., Rozza, A., & Taskovski, D. (2015). Multimodal affective analysis combining regularized linear regression and boosted regression trees. 33–39. Scopus. https://doi.org/10.1145/2808196.2811636",-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,,,,
41,1,,"Ringeval, F., Eyben, F., Kroupi, E., Yuce, A., Thiran, J.-P., Ebrahimi, T., Lalanne, D., & Schuller, B. (2015). Prediction of asynchronous dimensional emotion ratings from audiovisual and physiological data. Pattern Recognition Letters, 66, 22–30. Scopus. https://doi.org/10.1016/j.patrec.2014.11.007",x,x,x,,x,-,survival task,-,-,-,-,-,-,-,-,-,x,-,-,,,,,,,,,,15m,,,,,
42,1,,"Kostoulas, T., Chanel, G., Muszynski, M., Lombardo, P., & Pun, T. (2017). Films, affective computing and aesthetic experience: Identifying emotional and aesthetic highlights from multimodal signals in a social setting. Frontiers in ICT, 4(JUN). Scopus. https://doi.org/10.3389/fict.2017.00011",x,x,x,-,-,x,-,-,x,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,,-,,,884s,,,,,
43,1,,"Barral, O., Kosunen, I., & Jacucci, G. (2017). No need to laugh out loud: Predicting humor appraisal of comic strips based on physiological signals in a realistic environment. ACM Transactions on Computer-Human Interaction, 24(6). Scopus. https://doi.org/10.1145/3157730",-,x,-,-,x,-,-,-,-,,-,-,-,-,-,-,-,-,-,x,,,,,,,,,,,,,,
44,1,,"Lanatà, A., Valenza, G., & Scilingo, E. P. (2012). A novel EDA glove based on textile-integrated electrodes for affective computing. Medical & Biological Engineering & Computing, 50(11), 1163–1172. doi:10.1007/s11517-012-0921-9",-,x,-,-,-,x,IAPS,x,,,-,-,-,-,-,-,-,-,-,-,,,,,,-,10 s,-,-,-,,,,
45,1,,"Ren, P., Barreto, A., Huang, J., Gao, Y., Ortega, F. R., & Adjouadi, M. (2013). Off-line and On-line Stress Detection Through Processing of the Pupil Diameter Signal. Annals of Biomedical Engineering, 42(1), 162–176. doi:10.1007/s10439-013-0880-9 ",-,-,-,-,x,-,Stroop color-word interference test’’ (SCWT),-,,,-,-,-,-,,-,-,-,,,,,,,,-,3s,-,-,-,,,,
46,1,,"GOUIZI, K., BEREKSI REGUIG, F., & MAAOUI, C. (2011). Emotion recognition from physiological signals. Journal of Medical Engineering & Technology, 35(6-7), 300–307. doi:10.3109/03091902.2011.601784",-,x,-,-,-,-,IAPS,x,,,-,-,-,-,,-,-,-,,,,,,,,-,-,-,-,-,,,,
47,1,,"Bornoiu, I.-V., Strungaru, R., & Grigore, O. (2015). Intelligent System for Emotion Recognition Based on Electrodermal Activity Processing. 6th European Conference of the International Federation for Medical and Biological Engineering, 70–73. doi:10.1007/978-3-319-11128-5_18 ",-,x,x,-,x,-,Trier social stress test,x,,,-,x,-,-,,-,-,-,,,,,,,,-,-,-,-,-,,,,
48,1,,"Liapis, A., Katsanos, C., Sotiropoulos, D., Xenos, M., & Karousos, N. (2015). Subjective Assessment of Stress in HCI. Proceedings of the 11th Biannual Conference on Italian SIGCHI Chapter - CHItaly 2015. doi:10.1145/2808435.2808450",-,-,-,-,x,-,Visit website with interruptions,-,,,-,-,-,-,,-,-,-,,,,,,,,-,-,-,-,-,,,,
49,1,,"Drungilas, D., Bielskis, A. A., & Denisov, V. (2010). An intelligent control system based on non-invasive man machine interaction. In Innovations in Computing Sciences and Software Engineering (pp. 63-68). Springer, Dordrecht.",-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1,,"Wu, G., Liu, G., & Hao, M. (2010). The Analysis of Emotion Recognition from GSR Based on PSO. 2010 International Symposium on Intelligence Information Processing and Trusted Computing. doi:10.1109/iptc.2010.60",-,x,x,-,-,x,-,-,x,-,-,-,-,-,-,-,-,-,,,,,,,,-,-,240-300s,-,-,,,,
51,1,,"Giakoumis, D., Tzovaras, D., Moustakas, K., & Hassapis, G. (2011). Automatic Recognition of Boredom in Video Games Using Novel Biosignal Moment-Based Features. IEEE Transactions on Affective Computing, 2(3), 119–133. doi:10.1109/t-affc.2011.4 ",-,x,-,-,x,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,x,-,,-,-,-,-,-,,,,
52,1,,"Safta, I., Grigore, O., & Căruntu, C.(2011). Emotion Detection Using Psycho-Physiological Signal Processing. Computer, 3, 4.",-,x,-,-,-,x,IAPS,x,,,-,-,-,-,,-,-,-,,,,,,,,-,7s,-,-,-,,,,
53,1,,"Ren, P., Barreto, A., Gao, Y., & Adjouadi, M. (2012). Comparison of the use of pupil diameter and galvanic skin response signals for affective assessment of computer users. Biomedical sciences instrumentation, 48, 345-350.",-,x,-,-,x,-,Stroop,-,,x,-,-,-,-,,-,-,-,,,,,,,,-,-,-,-,-,,,,
54,1,,"Cheng, J., & Liu, G. (2013). Computing nonlinear features of skin conductance to build the affective detection model. 2013 International Conference on Communications, Circuits and Systems (ICCCAS). doi:10.1109/icccas.2013.6765349 ",-,x,x,-,-,x,-,-,x,,-,-,-,-,,-,-,-,,,,,,,,-,-,-,-,-,,,,
55,1,,"Ren, P., Barreto, A., Gao, Y., & Adjouadi, M. (2013). Affective Assessment by Digital Processing of the Pupil Diameter. IEEE Transactions on Affective Computing, 4(1), 2–14. doi:10.1109/t-affc.2012.25",-,-,-,-,x,-,Stoop color word interfence test (SCWT),-,,,-,-,-,-,,-,-,-,,,,,,,,-,-,-,-,-,,,,
56,1,,"Guo, R., Li, S., He, L., Gao, W., Qi, H., & Owens, G. (2013, May). Pervasive and unobtrusive emotion sensing for human mental health. In 2013 7th International Conference on Pervasive Computing Technologies for Healthcare and Workshops (pp. 436-439). IEEE.",-,x,x,-,-,x,-,-,x,,-,-,-,-,,-,-,-,,,,,,,,-,-,300-480s,-,-,,,,
57,1,,"Henriques, R., Paiva, A., & Antunes, C. (2013). Accessing Emotion Patterns from Affective Interactions Using Electrodermal Activity. 2013 Humaine Association Conference on Affective Computing and Intelligent Interaction. doi:10.1109/acii.2013.14 ",-,-,-,-,x,-,-,-,,,-,-,-,-,,-,-,-,,,,,,,,robot interaction,-,10-30s,-,-,,,,
58,1,,"Li, S., Guo, R., He, L., Gao, W., Qi, H., & Owens, G. (2014). MoodMagician. Proceedings of the 12th ACM Conference on Embedded Network Sensor Systems - SenSys ’14. doi:10.1145/2668332.2668371",-,x,x,-,-,x,-,-,x,,-,-,-,-,,-,-,-,,,,,,,,-,-,240s-300s,-,-,,,,
59,1,,"Yu, D., & Sun, S. (2020). A systematic exploration of deep neural networks for EDA-based emotion recognition. Information, 11(4), 212.",x,x,x,-,-,x,-,-,x,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,,-,34.9s - 117 s,"81,4 s",-,,,,
60,1,,"Al Machot, F., Elmachot, A., Ali, M., Al Machot, E., & Kyamakya, K. (2019). A deep-learning model for subject-independent human emotion recognition using electrodermal activity sensors. Sensors, 19(7), 1659.",x,x,x,-,-,x,-,-,x,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,,,1m,-,-,-,,,,
60,2,,"Al Machot, F., Elmachot, A., Ali, M., Al Machot, E., & Kyamakya, K. (2019). A deep-learning model for subject-independent human emotion recognition using electrodermal activity sensors. Sensors, 19(7), 1659.",x,x,x,-,-,x,-,-,x,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,,-,34.9s - 117 s,"81,4 s",-,,,,
61,1,,"Seo, J., Laine, T. H., & Sohn, K. A. (2019). An exploration of machine learning methods for robust boredom classification using EEG and GSR data. Sensors, 19(20), 4561.",x,x,x,,,,,,x,,,,,,,,,,,,,,,,,,00 m 07 ss,,,,,,,
62,1,,"Martinez, R., Salazar-Ramirez, A., Arruti, A., Irigoyen, E., Martin, J. I., & Muguerza, J. (2019). A self-paced relaxation response detection system based on galvanic skin response analysis. IEEE Access, 7, 43730-43741.",x,x,x,,x,x,,,x,,,x,,,,,,,x,,,,,,,,40 m 00 s,,,,,,,
63,1,,"Sharma, V., Prakash, N. R., & Kalra, P. (2019). Audio-video emotional response mapping based upon electrodermal activity. Biomedical Signal Processing and Control, 47, 324-333.",x,x,x,-,-,x,-,-,x,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,,,1m,-,-,-,,,,
64,1,,"Dar, M. N., Akram, M. U., Khawaja, S. G., & Pujari, A. N. (2020). Cnn and lstm-based emotion charting using physiological signals. Sensors, 20(16), 4551.",x,x,x,-,-,x,-,-,x,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,,-,,00m 52 s - 23m 58s,,,,,,
65,1,,"Greco, A., Marzi, C., Lanata, A., Scilingo, E. P., & Vanello, N. (2019, July). Combining electrodermal activity and speech analysis towards a more accurate emotion recognition system. In 2019 41st Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC) (pp. 229-232). IEEE.",,x,,,,x,,,,x,,,,,,,,,,,,,,,,,0m 2s,,,,,,,
66,1,,"Ganapathy, N., Veeranki, Y. R., & Swaminathan, R. (2020). Convolutional neural network based emotion classification using electrodermal activity signals and time-frequency features. Expert Systems with Applications, 159, 113571.",x,x,x,-,-,x,-,-,x,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,,,1m,-,-,-,,,,
67,1,,"Lee, S., Lee, T., Yang, T., Yoon, C., & Kim, S. P. (2020). Detection of drivers’ anxiety invoked by driving situations using multimodal biosignals. Processes, 8(2), 155.",x,x,x,,,x,,,x,,,,,,,,,,,,,,,,,,0m 30s,,,,,,,
68,1,,"García-Faura, Á., Hernández-García, A., Fernández-Martínez, F., Díaz-de-María, F., & San-Segundo, R. (2019, January). Emotion and attention: Audiovisual models for group-level skin response recognition in short movies. In Web Intelligence (Vol. 17, No. 1, pp. 29-40). IOS Press.",x,x,x,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
69,1,,"Wei, W., Jia, Q., Feng, Y., & Chen, G. (2018). Emotion recognition based on weighted fusion strategy of multichannel physiological signals. Computational intelligence and neuroscience, 2018.",x,x,x,-,-,x,-,-,x,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,,-,34.9s - 117 s,"81,4 s",-,,,,
70,1,,"El-Amir, M. M., Al-Atabany, W., & Eldosoky, M. A. (2019, April). Emotion Recognition via Detrended Fluctuation Analysis and Fractal Dimensions. In 2019 36th National Radio Science Conference (NRSC) (pp. 200-208). IEEE.",x,x,x,-,-,x,-,-,x,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,,,1m,-,-,-,,,,
71,1,,"Tung, K., Liu, P. K., Chuang, Y. C., Wang, S. H., & Wu, A. Y. A. (2018, December). Entropy-assisted multi-modal emotion recognition framework based on physiological signals. In 2018 IEEE-EMBS Conference on Biomedical Engineering and Sciences (IECBES) (pp. 22-26). IEEE.",x,x,x,-,-,x,-,-,x,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,,-,,00m 52 s - 23m 58s,,,,,,
72,1,,"Golgouneh, A., & Tarvirdizadeh, B. (2020). Fabrication of a portable device for stress monitoring using wearable sensors and soft computing algorithms. Neural Computing and Applications, 32(11), 7515-7537.",x,x,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
73,1,,"Sun, X., Hong, T., Li, C., & Ren, F. (2019). Hybrid spatiotemporal models for sentiment classification via galvanic skin response. Neurocomputing, 358, 385-400.",x,x,x,,,,,,x,,,,,,,,,,,,,,,,,,,,00 m 120 s,,,,,
74,1,,"Chang, E. J., Rahimi, A., Benini, L., & Wu, A. Y. A. (2019, March). Hyperdimensional computing-based multimodality emotion recognition with physiological signals. In 2019 IEEE International Conference on Artificial Intelligence Circuits and Systems (AICAS) (pp. 137-141). IEEE.",x,x,x,-,-,x,-,-,x,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,,-,,00m 52 s - 23m 58s,,,,,,
75,1,,"Song, T., Zheng, W., Lu, C., Zong, Y., Zhang, X., & Cui, Z. (2019). MPED: A multi-modal physiological emotion database for discrete emotion recognition. IEEE Access, 7, 12177-12191.",x,x,x,,,,,,x,,,,,,,,,,,,,,,,,,,02 m 30 s - 05 m 00 s,,,,,,
76,1,,"Thammasan, N., Hagad, J. L., Fukui, K. I., & Numao, M. (2017, October). Multimodal stability-sensitive emotion recognition based on brainwave and physiological signals. In 2017 Seventh International Conference on Affective Computing and Intelligent Interaction Workshops and Demos (ACIIW) (pp. 44-49). IEEE.",,,x,,,,,,,,,x,,,,,,,,,,,,,,,,00 m 10 s - 01m 30 s,,,,,,
77,1,,"Pinto, G., Carvalho, J. M., Barros, F., Soares, S. C., Pinho, A. J., & Brás, S. (2020). Multimodal emotion evaluation: A physiological model for cost-effective emotion classification. Sensors, 20(12), 3510.",x,x,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,,"Raheel, A., Majid, M., Alnowami, M., & Anwar, S. M. (2020). Physiological sensors based emotion recognition while experiencing tactile enhanced multimedia. Sensors, 20(14), 4037.",,,,,,,,,,,,,,,,,,,,,,x,,,,,,00 m 21 s - 00 m 58 s,,,,,,
79,1,,"Liu, Y., & Jiang, C. (2019). Recognition of shooter’s emotions under stress based on affective computing. IEEE Access, 7, 62338-62343.",x,x,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
80,1,,"Zhang, K., Zhang, H., Li, S., Yang, C., & Sun, L. (2018, June). The pmemo dataset for music emotion recognition. In Proceedings of the 2018 acm on international conference on multimedia retrieval (pp. 135-142).",-,-,x,-,-,x,-,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,,,,,
81,1,,"Niu, Y., Wang, D., Wang, Z., Sun, F., Yue, K., & Zheng, N. (2020). User experience evaluation in virtual reality based on subjective feelings and physiological signals. Electronic Imaging, 2020(13), 60413-1.",x,x,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
81,2,,"Niu, Y., Wang, D., Wang, Z., Sun, F., Yue, K., & Zheng, N. (2020). User experience evaluation in virtual reality based on subjective feelings and physiological signals. Electronic Imaging, 2020(13), 60413-1.",x,x,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
82,1,,"Santamaria-Granados, L., Munoz-Organero, M., Ramirez-Gonzalez, G., Abdulhay, E., & Arunkumar, N. J. I. A. (2018). Using deep convolutional neural network for emotion detection on a physiological signals dataset (AMIGOS). IEEE Access, 7, 57-67.",x,x,x,-,-,x,-,-,x,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,,-,,00m 52 s - 23m 58s,,,,,,
83,1,,"Zhang, L. K., Sun, S. Q., Xing, B. X., Luo, R. M., & Zhang, K. J. (2019). Using psychophysiological measures to recognize personal music emotional experience. Frontiers of Information Technology & Electronic Engineering, 20(7), 964-974.",x,x,x,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,
84,1,,"Liapis, A., Katsanos, C., Karousos, N., Xenos, M., & Orphanoudakis, T. (2019, September). UDSP+ stress detection based on user-reported emotional ratings and wearable skin conductance sensor. In Adjunct Proceedings of the 2019 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2019 ACM International Symposium on Wearable Computers (pp. 125-128).",,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
85,1,,"Xie, J., Xu, X., & Shu, L. (2018, May). WT feature based emotion recognition from multi-channel physiological signals with decision fusion. In 2018 First Asian Conference on Affective Computing and Intelligent Interaction (ACII Asia) (pp. 1-6). IEEE.",x,x,x,.,-,x,-,-,x,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,,-,,32-245s,68s,,,,,
86,1,,"Ganapathy, N., & Swaminathan, R. (2020). Emotion Analysis Using Electrodermal Signals and Spiking Deep Belief Network. In Digital Personalized Health and Medicine (pp. 1269-1270). IOS Press.",x,x,x,-,-,x,-,-,x,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,,,1m,-,-,-,,,,
87,1,,"Yasemin, M., Sarıkaya, M. A., & Ince, G. (2019, July). Emotional state estimation using sensor fusion of EEG and EDA. In 2019 41st Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC) (pp. 5609-5612). IEEE.",x,x,x,-,-,x,-,-,x,,-,-,-,-,-,-,-,-,-,-,-,-,,,,"we conducted the experiments with
audiovisual stimuli to induce emotions by playing videos.
We have used a video prepared in [21], which contains
several kinds of movie clips and binaural beats 1. As stimuli,
we chose movies which have high effect to arouse human
emotions. A binaural beat is an auditory sensation, which
appears when two slightly different sounds are received to",-,-,-,-,,,,
88,1,,"Ghiasi, S., Greco, A., Barbieri, R., Scilingo, E. P., & Valenza, G. (2020). Assessing autonomic function from electrodermal activity and heart rate variability during cold-pressor test and emotional challenge. Scientific reports, 10(1), 1-13.",x,x,x,-,-,x,-,-,x,,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,1M 30S,-,-,-,,,,
89,1,,"Gümüslü, E., Erol Barkana, D., & Köse, H. (2020, October). Emotion recognition using EEG and physiological data for robot-assisted rehabilitation systems. In Companion Publication of the 2020 International Conference on Multimodal Interaction (pp. 379-387).",-,x,-,-,-,x,IAPS,x,-,,-,-,-,-,-,--,-,-,-,-,-,-,,,,-,0M 06S,-,-,-,,,,
90,1,,"Katada, S., Okada, S., Hirano, Y., & Komatani, K. (2020, October). Is She Truly Enjoying the Conversation? Analysis of Physiological Signals toward Adaptive Dialogue Systems. In Proceedings of the 2020 International Conference on Multimodal Interaction (pp. 315-323).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1,,"Susanto, I. Y., Pan, T. Y., Chen, C. W., Hu, M. C., & Cheng, W. H. (2020, June). Emotion recognition from galvanic skin response signal based on deep hybrid neural networks. In Proceedings of the 2020 International Conference on Multimedia Retrieval (pp. 341-345).",-,-,x,-,-,x,-,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,,,,,
92,1,,"Rahman, J. S., Hossain, M. Z., & Gedeon, T. (2019, December). Measuring Observers' EDA Responses to Emotional Videos. In Proceedings of the 31st Australian Conference on Human-Computer-Interaction (pp. 457-461).",x,-,-,-,-,x,-,-,x,,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,0M 2S - 0M3S,-,-,,,,
93,1,,"Rahim, A., Sagheer, A., Nadeem, K., Dar, M. N., Rahim, A., & Akram, U. (2019, October). Emotion Charting Using Real-time Monitoring of Physiological Signals. In 2019 International Conference on Robotics and Automation in Industry (ICRAI) (pp. 1-5). IEEE.",x,x,x,-,-,x,-,-,x,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,,-,,00m 52 s - 23m 58s,,,,,,
94,1,,"Yin, G., Sun, S., Zhang, H., Yu, D., Li, C., Zhang, K., & Zou, N. (2019, September). User Independent Emotion Recognition with Residual Signal-Image Network. In 2019 IEEE International Conference on Image Processing (ICIP) (pp. 3277-3281). IEEE.",-,-,x,-,-,x,-,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,,,,,
95,1,,"Yang, H. C., & Lee, C. C. (2019, September). Annotation matters: A comprehensive study on recognizing intended, self-reported, and observed emotion labels using physiology. In 2019 8th International Conference on Affective Computing and Intelligent Interaction (ACII) (pp. 1-7). IEEE.",x,x,x,-,-,x,-,-,x,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,,-,,00m 52 s - 23m 58s,,,,,,
96,1,,"Kołodziej, M., Tarnowski, P., Majkowski, A., & Rak, R. J. (2019). Electrodermal activity measurements for detection of emotional arousal. Bulletin of the Polish Academy of Sciences. Technical Sciences, 67(4).",x,x,x,-,-,x,-,-,x,,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,0M 4.9S - 0M 71.1S,-,-,,,,
97,1,,"Ganapathy, N., & Swaminathan, R. (2019). Emotion Recognition Using Electrodermal Activity Signals and Multiscale Deep Convolution Neural Network. Studies in health technology and informatics, 258, 140-140.",x,x,x,-,-,x,-,-,x,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,,,1m,-,-,-,,,,
98,1,,"Subramanian, R., Wache, J., Abadi, M. K., Vieriu, R. L., Winkler, S., & Sebe, N. (2016). ASCERTAIN: Emotion and personality recognition using commercial sensors. IEEE Transactions on Affective Computing, 9(2), 147-160.",x,x,x,-,-,x,,-,x,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,,-,-,51s –127 s,-,-,,,,
99,1,,"Yun, H., Fortenbacher, A., Helbig, R., & Pinkwart, N. (2019). In Search of Learning Indicators: A Study on Sensor Data and IAPS Emotional Pictures. In CSEDU (2) (pp. 111-121).",,x,,,,,IAPS,x,,,,,,,,,,,,,,,,,,,00 m 06 ss,,,,,,,
100,1,10.1016/j.trf.2024.12.031,"Kim, T., Kim, S., Lee, M., Kang, Y., & Hwang, S. (2025). Assessing human emotional experience in pedestrian environments using wearable sensing and machine learning with anomaly detection. Transportation Research Part F: Traffic Psychology and Behaviour, 109, 540-555.",-,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Real‑world urban walking,A walking path … 10–15 min walking path divided into eight distinct areas​,,10 m 00 s – 15 m 00 s ​,-,-,Tomi,,,
101,1,10.3390/s24248130,"Mercado-Diaz, L. R., Veeranki, Y. R., Large, E. W., & Posada-Quintero, H. F. (2024). Fractal Analysis of Electrodermal Activity for Emotion Recognition: A Novel Approach Using Detrended Fluctuation Analysis and Wavelet Entropy. Sensors, 24(24), 8130.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Participants watched validated emotional video-stimuli (e.g., amusing, boring, relaxing, scary) while annotating their emotional experience using a joystick interface.",-,119 s - 197 s,-,-,Tomi,,,
102,1,10.1109/TVCG.2024.3372101,"Li, M., Pan, J., Li, Y., Gao, Y., Qin, H., & Shen, Y. (2024). Multimodal physiological analysis of impact of emotion on cognitive control in VR. IEEE Transactions on Visualization and Computer Graphics.",x,x,x,-,-,x,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Eight 360° VR clips inducing four arousal–valence states,,01 m 40 s – 05 m 50 s ​,210 s,-,Tomi,,,
103,1,10.1016/j.irbm.2024.100849,"Veeranki, Y. R., Posada-Quintero, H. F., & Swaminathan, R. (2024). Transition Network-Based Analysis of Electrodermal Activity Signals for Emotion Recognition. IRBM, 45(4), 100849.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants passively watched 40 one-minute music-video excerpts intended to elicit emotions,01 m 00 s,-,-,-,Tomi,,,
