paper_id,model_id,doi,apa_citation,is_multimodal,modality_visual,modality_auditory,modality_somatosensory,task_type_active,task_type_passive,technique_name,visual_pictures,visual_videos,visual_words,visual_other,auditory_music,auditory_other,technique_clasif_multiple_techniques,technique_clasif_driving,technique_clasif_imagination_techniques_or_memory_recall,technique_clasif_social_interactions,technique_clasif_virtual_reality,technique_clasif_meditation,technique_clasif_reading,technique_clasif_ux,technique_clasif_tactile_enhanced_multimedia_clips,technique_clasif_videogame,technique_clasif_puzzle,technique_clasif_other,technique_description,elicitation_duration,elicitation_duration_range,elicitation_duration_mean,elicitation_duration_median,revisor,comentarios,Unnamed: 36,Unnamed: 37
143,2,10.1109/JBHI.2022.3224775,"Ghiasi, S., Patane, A., Laurenti, L., Gentili, C., Scilingo, E. P., Greco, A., & Kwiatkowska, M. (2022). Physiologically-informed gaussian processes for interpretable modelling of psycho-physiological states. IEEE Journal of Biomedical and Health Informatics, 27(8), 3721-3730.",x,x,x,x,-,x,Heat-pain stimulation; Video Stimuli; IAPS,x,x,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,heat pain,PATHWAY thermode on right arm delivered four individually calibrated heat levels; additional IAPS images and validated film clips presented for emotion induction,-,00 m 04 s (max heat plateau) ,-,-,Tomi,,,
143,3,10.1109/JBHI.2022.3224775,"Ghiasi, S., Patane, A., Laurenti, L., Gentili, C., Scilingo, E. P., Greco, A., & Kwiatkowska, M. (2022). Physiologically-informed gaussian processes for interpretable modelling of psycho-physiological states. IEEE Journal of Biomedical and Health Informatics, 27(8), 3721-3730.",-,x,-,-,x,-,Stroop test,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Stroop test,Color-word interference task with 2-s button press responses; buzzer sounds on errors,03 m 00 s (stress phase),-,-,-,Tomi,,,
144,1,10.1109/GLOBECOM48099.2022.10000909,"Zhu, L., & Spachos, P. (2022, December). Annotation efficiency in multimodal emotion recognition with deep learning. In GLOBECOM 2022-2022 IEEE Global Communications Conference (pp. 560-565). IEEE.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants watched 16 short clips (51–150 s) and 4 long excerpts (14–24 min) selected to cover the four quadrants of the valence–arousal space ​,-,00 m 51 s – 02 m 30 s,01 m 27 s (μ = 86.7 s),-,Tomi,,,
145,1,10.1109/ICC45041.2023.10278603,"Zhu, L., Spachos, P., & Gregori, S. (2023, May). Electrodermal activity for emotion recognition using cnn and bi-gru model. In ICC 2023-IEEE International Conference on Communications (pp. 5533-5538). IEEE.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants watched 16 short clips (51–150 s) and 4 long excerpts (14–24 min) selected to cover the four quadrants of the valence–arousal space ​,-,00 m 51 s – 02 m 30 s,01 m 27 s (μ = 86.7 s),-,Tomi,,,
146,1,10.1007/s11042-022-12711-8,"Katada, S., & Okada, S. (2022). Biosignal-based user-independent recognition of emotion and personality with importance weighting. Multimedia Tools and Applications, 81(21), 30219-30241.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants watched 16 short clips (51–150 s) and 4 long excerpts (14–24 min) selected to cover the four quadrants of the valence–arousal space ​,-,00 m 51 s – 02 m 30 s,01 m 27 s (μ = 86.7 s),-,Tomi,,,
147,1,10.1109/ICACCS57279.2023.10112973,"Gupta, R., Bhongade, A., & Gandhi, T. K. (2023, March). Multimodal wearable sensors-based stress and affective states prediction model. In 2023 9th International Conference on Advanced Computing and Communication Systems (ICACCS) (Vol. 1, pp. 30-35). IEEE.",x,x,x,-,x,x,TSST; Video Stimuli; guided meditation,-,x,-,-,-,-,x,-,-,x,-,x,-,-,-,-,-,speech/math,Lab protocol: neutral baseline → amusing video clips → Trier Social Stress Test (speech + mental arithmetic) → guided breathing meditation,392 s (video) / ≈ 600 s (TSST),392 s – 10 min,-,-,Tomi,,,
148,1,10.1016/j.eswa.2024.124305,"Mohino-Herranz, I., Gil-Pita, R., García-Gómez, J., Alonso-Diaz, S., Rosa-Zurera, M., & Seoane, F. (2024). Initializing the weights of a multilayer perceptron for activity and emotion recognition. Expert Systems with Applications, 253, 124305.",x,x,-,-,-,-,Video Stimuli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Film clips showing disgust & sadness; neutral baseline,,-,-,-,Tomi,,,
149,1,10.1109/JSEN.2020.3031163,"Woodward, K., & Kanjo, E. (2020). iFidgetCube: tangible fidgeting interfaces (TFIs) to monitor and improve mental wellbeing. IEEE Sensors Journal, 21(13), 14300-14307.",-,-,-,x,x,-,Fidgeting,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tangible Fidgeting Interface (cube),Participants freely fidgeted with the instrumented cube during daily life while self-labelling mood,,-,-,-,Tomi,,,
150,1,10.1145/3490686,"Yin, G., Sun, S., Yu, D., Li, D., & Zhang, K. (2022). A multimodal framework for large-scale emotion recognition by fusing music and electrodermal activity signals. ACM Transactions on Multimedia Computing, Communications, and Applications (TOMM), 18(3), 1-23.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants passively watched 40 one-minute music-video excerpts intended to elicit emotions,01 m 00 s,-,-,-,-,,,Tomi
150,2,10.1145/3490686,"Yin, G., Sun, S., Yu, D., Li, D., & Zhang, K. (2022). A multimodal framework for large-scale emotion recognition by fusing music and electrodermal activity signals. ACM Transactions on Multimedia Computing, Communications, and Applications (TOMM), 18(3), 1-23.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants watched 16 short clips (51–150 s) and 4 long excerpts (14–24 min) selected to cover the four quadrants of the valence–arousal space ​,-,00 m 51 s – 02 m 30 s,01 m 27 s (μ = 86.7 s),-,Tomi,,,
150,3,10.1145/3490686,"Yin, G., Sun, S., Yu, D., Li, D., & Zhang, K. (2022). A multimodal framework for large-scale emotion recognition by fusing music and electrodermal activity signals. ACM Transactions on Multimedia Computing, Communications, and Applications (TOMM), 18(3), 1-23.",-,-,x,-,-,x,Music-listening,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants listened to 20 chorus excerpts of pop songs and provided continuous valence/arousal ratings​​,-,-,-,-,Tomi,,,
151,1,10.3390/s23031608,"Baldassarri, S., García de Quirós, J., Beltrán, J. R., & Álvarez, P. (2023). Wearables and machine learning for improving runners’ motivation from an affective perspective. Sensors, 23(3), 1608.",-,-,x,-,-,x,Music listening playlist,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,,Nine songs (two per Russell quadrant) were played with 15-s pauses,The total duration of the playlist is approximately 41 minutes.,-,41 m 00 s,-,Tomi,,,
152,1,10.3389/fnins.2023.1138091,"Li, Z., Xing, Y., Pi, Y., Jiang, M., & Zhang, L. (2023). A novel physiological feature selection method for emotional stress assessment based on emotional state transition. Frontiers in Neuroscience, 17, 1138091.",-,x,-,-,-,x,IAPS,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,"120 IAPS images (3 × 40) shown for 6 s each to evoke negative, neutral, and positive emotions",Each picture was presented for 6 s.,-,12 m 00 s,-,Tomi,,,
153,1,10.3390/s21113760,"Alanazi, S.A.; Alruwaili, M.; Ahmad, F.; Alaerjan, A.; Alshammari, N. Estimation of Organizational Competitiveness by a Hybrid of One-Dimensional Convolutional Neural Networks and Self-Organizing Maps Using Physiological Signals for Emotional Analysis of Employees. Sensors 2021, 21, 3760.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,Tomi,,,
154,1,10.3390/electronics13081494,"Joo, J. H., Han, S. H., Park, I., & Chung, T. S. (2024). Immersive Emotion Analysis in VR Environments: A Sensor-Based Approach to Prevent Distortion. Electronics, 13(8), 1494.",x,x,x,-,-,x,360° Video-Based Virtual Environments,-,x,-,-,-,-,-,-,-,-,x,-,-,-,-,-,-,-,Immersive 360° videos delivered in VR covering four CMA emotion quadrants ​,-,01 m 00 s – 03 m 00 s,,-,Tomi,,,
155,1,10.3390/s21062166,"Oh, G., Ryu, J., Jeong, E., Yang, J. H., Hwang, S., Lee, S., & Lim, S. (2021). Drer: Deep learning–based driver’s real emotion recognizer. Sensors, 21(6), 2166.",x,x,x,-,-,x,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,17 m 00 s –19 m 00 s,-,-,Tomi,,,
156,1,10.1016/j.inffus.2020.08.007,"Raheel, A., Majid, M., & Anwar, S. M. (2021). DEAR-MULSEMEDIA: Dataset for emotion analysis and recognition in response to multiple sensorial media. Information Fusion, 65, 37-49.",x,x,x,x,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,x,-,-,Mulsemedia content,-,02 m 37 s,00 m 21 s – 00 m 58 s,00 m 39.25 s,-,Tomi,,,
157,1,10.1109/MeMeA60663.2024.10596800,"Veeranki, Y. R., Mercado-Diaz, L. R., & Posada-Quintero, H. F. (2024, June). Autoencoder Based Nonlinear Feature Extraction from EDA Signals for Emotion Recognition. In 2024 IEEE International Symposium on Medical Measurements and Applications (MeMeA) (pp. 1-5). IEEE.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants passively watched 40 one-minute music-video excerpts intended to elicit emotions,60s,-,-,-,Tomi,,,
158,1,10.1109/PerComWorkshops59983.2024.10502631,"Jaiswal, D., Mukhopadhyay, S., & Sharma, V. (2024, March). Tinystressnet: On-device stress assessment with wearable sensors on edge devices. In 2024 IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events (PerCom Workshops) (pp. 166-171). IEEE.",-,-,-,-,x,-,Real-world driving,-,-,-,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,"31 km real-world route including urban, highway and rest segments",≈ 1 h 26 m (per drive),-,-,-,Tomi,,,
158,2,10.1109/PerComWorkshops59983.2024.10502631,"Jaiswal, D., Mukhopadhyay, S., & Sharma, V. (2024, March). Tinystressnet: On-device stress assessment with wearable sensors on edge devices. In 2024 IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events (PerCom Workshops) (pp. 166-171). IEEE.",-,x,-,-,x,-,Mental arithmetic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,math,Timed on-screen arithmetic equations answered aloud under evaluation pressure,05 m 00 s,-,5 min,-,Tomi,,,
158,3,10.1109/PerComWorkshops59983.2024.10502631,"Jaiswal, D., Mukhopadhyay, S., & Sharma, V. (2024, March). Tinystressnet: On-device stress assessment with wearable sensors on edge devices. In 2024 IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events (PerCom Workshops) (pp. 166-171). IEEE.",x,x,x,-,x,-,TSST,-,-,-,-,-,-,-,-,-,x,-,-,-,-,-,-,-,speech/math,"Semi-automated digital TSST with 5-min preparation, 3-min extempore speech before a video panel, followed by a 5-min mental-arithmetic task",3 min speech / 5 min aritmetic task,-,-,-,Tomi,,,
158,4,10.1109/PerComWorkshops59983.2024.10502631,"Jaiswal, D., Mukhopadhyay, S., & Sharma, V. (2024, March). Tinystressnet: On-device stress assessment with wearable sensors on edge devices. In 2024 IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events (PerCom Workshops) (pp. 166-171). IEEE.",x,x,x,-,x,,TSST; Video Stimuli; guided meditation,-,x,-,-,-,-,x,-,-,x,-,x,-,-,-,-,-,speech/math,Lab protocol: neutral baseline → amusing video clips → Trier Social Stress Test (speech + mental arithmetic) → guided breathing meditation,392 s (video) / ≈ 600 s (TSST),392 s – 10 min,-,-,Tomi,,,
159,1,10.2478/jaiscr-2021-0001,"Rahman, J. S., Gedeon, T., Caldwell, S., Jones, R., & Jin, Z. (2021). Towards effective music therapy for mental health care using machine learning tools: human affective reasoning and music genres. Journal of Artificial Intelligence and Soft Computing Research, 11(1), 5-20.",-,-,x,-,-,x,Music listening,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,Tomi,,,
160,1,10.1109/TAFFC.2021.3056960,"Sabour, R. M., Benezeth, Y., De Oliveira, P., Chappe, J., & Yang, F. (2021). Ubfc-phys: A multimodal database for psychophysiological studies of social stress. IEEE Transactions on Affective Computing, 14(1), 622-636.",x,x,x,-,x,,Modified Trier Social Stress Test (TSST),-,-,-,-,,-,-,-,-,x,-,-,-,-,-,-,-,,"10-min rest baseline, 6-min job-interview speech, 4-min mental arithmetic (count-down) in evaluative setting.",20 m 00 s,-,-,-,Tomi,,,
161,1,10.1109/TAFFC.2019.2901673,"Shukla, J., Barreda-Ángeles, M., Oliver, J., Puig, D., & Nandi, G. C. (2019). Feature Extraction and Selection for Emotion Recognition from Electrodermal Activity. IEEE Transactions on Affective Computing, 12(4), 858-866.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants watched 16 short clips (51–150 s) and 4 long excerpts (14–24 min) selected to cover the four quadrants of the valence–arousal space ​,-,00 m 51 s – 02 m 30 s,01 m 27 s (μ = 86.7 s),-,Tomi,,,
162,1,10.1109/TENSYMP54529.2022.9864492,"Chatterjee, D., Gavas, R., & Saha, S. K. (2022, July). Exploring skin conductance features for cross-subject emotion recognition. In 2022 IEEE Region 10 Symposium (TENSYMP) (pp. 1-6). IEEE.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants watched 36 affective movie clips,-,51–127s,80,-,Tomi,,,
163,1,10.1145/3495002,"Tabbaa, L., Searle, R., Bafti, S. M., Hossain, M. M., Intarasisrisawat, J., Glancy, M., & Ang, C. S. (2021). Vreed: Virtual reality emotion recognition dataset using eye tracking & physiological measures. Proceedings of the ACM on interactive, mobile, wearable and ubiquitous technologies, 5(4), 1-20.",x,x,x,-,-,x,Virtual Reality,-,x,-,-,-,-,-,-,-,-,x,-,-,-,-,-,-,,Participants engaged in twelve 360-degree virtual environments (360-VEs) designed to elicit specific emotional states.,,,,,Tomi,,,
164,1,10.1049/ccs2.12107,"Zou, C., Deng, Z., He, B., Yan, M., Wu, J., & Zhu, Z. (2024). Emotion classification with multi‐modal physiological signals using multi‐attention‐based neural network. Cognitive Computation and Systems, 6(1-3), 1-11.",x,x,x,-,x,x,TSST; Video Stimuli; guided meditation,-,x,-,-,-,-,x,-,-,x,-,x,-,-,-,-,-,speech/math,Lab protocol: neutral baseline → amusing video clips → Trier Social Stress Test (speech + mental arithmetic) → guided breathing meditation,392 s (video) / ≈ 600 s (TSST),392 s – 10 min,-,-,Tomi,,,
165,1,10.2478/joeb-2021-0021,"Jacobsen, F. A., Hafli, E. W., Tronstad, C., & Martinsen, Ø. G. (2021). Classification of emotions based on electrodermal activity and transfer learning-a pilot study. Journal of Electrical Bioimpedance, 12(1), 178.",x,x,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,,-,,-,-,-,Tomi,,,
166,1,10.3389/fcomp.2023.1264713,"Gohumpu, J., Xue, M., & Bao, Y. (2023). Emotion recognition with multi-modal peripheral physiological signals. Frontiers in Computer Science, 5, 1264713.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants passively watched 40 one-minute music-video excerpts intended to elicit emotions,60s,-,-,-,Tomi,,,
167,1,10.1109/JBHI.2023.3239305,"Zhu, L., Spachos, P., Ng, P. C., Yu, Y., Wang, Y., Plataniotis, K., & Hatzinakos, D. (2023). Stress detection through wrist-based electrodermal activity monitoring and machine learning. IEEE Journal of Biomedical and Health Informatics, 27(5), 2155-2165.",x,x,x,-,x,x,TSST; Video Stimuli; guided meditation,-,x,-,-,-,-,x,-,-,x,-,x,-,-,-,-,-,speech/math,Lab protocol: neutral baseline → amusing video clips → Trier Social Stress Test (speech + mental arithmetic) → guided breathing meditation,392 s (video) / ≈ 600 s (TSST),392 s – 10 min,-,-,Tomi,,,
167,2,10.1109/JBHI.2023.3239305,"Zhu, L., Spachos, P., Ng, P. C., Yu, Y., Wang, Y., Plataniotis, K., & Hatzinakos, D. (2023). Stress detection through wrist-based electrodermal activity monitoring and machine learning. IEEE Journal of Biomedical and Health Informatics, 27(5), 2155-2165.",x,x,x,-,x,x,Video Stimuli; IAPS; Interactive tests,x,x,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,Math/Logic/Stroop,Five-task protocol combining interactive cognitive tests and emotion-eliciting audio-visual stimuli,-,-,-,-,Tomi,,,
167,3,10.1109/JBHI.2023.3239305,"Zhu, L., Spachos, P., Ng, P. C., Yu, Y., Wang, Y., Plataniotis, K., & Hatzinakos, D. (2023). Stress detection through wrist-based electrodermal activity monitoring and machine learning. IEEE Journal of Biomedical and Health Informatics, 27(5), 2155-2165.",x,x,x,-,x,x,Mental arithmetic; Stroop; Running; Video Stimuli; Relaxing music,-,x,-,-,x,-,x,-,-,-,-,-,-,-,-,-,-,math/running,-,5 min each activity,-,-,-,Tomi,,,
167,4,10.1109/JBHI.2023.3239305,"Zhu, L., Spachos, P., Ng, P. C., Yu, Y., Wang, Y., Plataniotis, K., & Hatzinakos, D. (2023). Stress detection through wrist-based electrodermal activity monitoring and machine learning. IEEE Journal of Biomedical and Health Informatics, 27(5), 2155-2165.",x,x,x,-,x,-,Public-speaking (real & VR) presentations,-,-,-,-,-,-,x,-,-,x,x,-,-,-,-,-,-,-,5-min prepared talks delivered to real or virtual audiences,05 m 00 s (nominal),-,-,-,Tomi,,,
168,1,10.1142/S0219477522500134,"Veeranki, Y. R., Ganapathy, N., & Swaminathan, R. (2022). Analysis of fluctuation patterns in emotional states using electrodermal activity signals and improved symbolic aggregate approximation. Fluctuation and Noise Letters, 21(02), 2250013.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants passively watched 40 one-minute music-video excerpts intended to elicit emotions,60s,-,-,-,Tomi,,,
169,1,10.1016/j.bspc.2024.106224,"Umair, M., Rashid, N., Khan, U. S., Hamza, A., & Iqbal, J. (2024). Emotion fusion-sense (Emo Fu-sense)–a novel multimodal emotion classification technique. Biomedical Signal Processing and Control, 94, 106224.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants watched 20 short emotional film excerpts selected to elicit specific affective states​​,-,34.9-117 s​,81.4 s​​,-,Tomi,,,
170,1,10.1109/TAFFC.2018.2884461,"Miranda-Correa, J. A., Khomami Abadi, M., Sebe, N., & Patras, I. (2017). AMIGOS: A dataset for affect, personality and mood research on individuals and groups. IEEE Transactions on Affective Computing.",x,x,x,-,-,-,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Short emotional videos / long videos,,-,-,-,Tomi,,,
171,1,10.1109/BIBM58861.2023.10385273,"Singh, A., Wittenberg, T., Salman, M. M., Holzer, N., Göb, S., Pahl, J., ... & Sawant, S. (2023, December). Bio-Signal Based Multimodal Fusion with Bilinear Model for Emotion Recognition. In 2023 IEEE International Conference on Bioinformatics and Biomedicine (BIBM) (pp. 4834-4839). IEEE.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants watched 20 short emotional film excerpts selected to elicit specific affective states​​,-,34.9-117 s​,81.4 s​​,-,Tomi,,,
172,1,10.1109/BSN63547.2024.10780682,"Gahlan, N., Sethia, D., & Ray, S. B. (2024, October). Emotion Analysis Using Auditory ASMR via Physiological Signals and Federated Learning. In 2024 IEEE 20th International Conference on Body Sensor Networks (BSN) (pp. 1-4). IEEE.",-,-,x,-,-,x,ASMR audio stimuli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,“Blossoming playful upbeat music”; “Crushing Crunchy & Soft Things” (ASMR sounds),Participants “sat straight and meditated … then they were asked to listen to two ASMR audios”,05 m 00 s,,-,-,Tomi,,,
173,1,10.1109/TIM.2024.3500058,"Kumar P, S., & Fredo Agastinose Ronickom, J. (2025). Emotion Classification Through Optimal Segments of EDA and Texture Analysis of Time-Encoded Images With Artificial Intelligence. IEEE Transactions on Instrumentation Measurement, 74, 3500058.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Participants watched validated emotional video-stimuli (e.g., amusing, boring, relaxing, scary) while annotating their emotional experience using a joystick interface.",-,119 s - 197 s,-,-,Tomi,,,
173,2,10.1109/TIM.2024.3500058,"Kumar P, S., & Fredo Agastinose Ronickom, J. (2025). Emotion Classification Through Optimal Segments of EDA and Texture Analysis of Time-Encoded Images With Artificial Intelligence. IEEE Transactions on Instrumentation Measurement, 74, 3500058.",x,x,x,-,x,x,TSST; Video Stimuli; guided meditation,-,x,-,-,-,-,x,-,-,x,-,x,-,-,-,-,-,speech/math,Lab protocol: neutral baseline → amusing video clips → Trier Social Stress Test (speech + mental arithmetic) → guided breathing meditation,392 s (video) / ≈ 600 s (TSST),392 s – 10 min,-,-,Tomi,,,
174,1,10.1145/3581783.3612277,"Liu, Y., Jia, Z., & Wang, H. (2023, October). Emotionkd: a cross-modal knowledge distillation framework for emotion recognition based on physiological signals. In Proceedings of the 31st ACM International Conference on Multimedia (pp. 6122-6131).",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants passively watched 40 one-minute music-video excerpts intended to elicit emotions,01 m 00 s,-,-,-,Tomi,,,
174,2,10.1145/3581783.3612277,"Liu, Y., Jia, Z., & Wang, H. (2023, October). Emotionkd: a cross-modal knowledge distillation framework for emotion recognition based on physiological signals. In Proceedings of the 31st ACM International Conference on Multimedia (pp. 6122-6131).",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants watched 20 short emotional film excerpts selected to elicit specific affective states​​,-,34.9-117 s​,81.4 s​​,-,Tomi,,,
175,1,10.3390/electronics13153019,"Feng, G., Wang, H., Wang, M., Zheng, X., & Zhang, R. (2024). A Research on Emotion Recognition of the Elderly Based on Transformer and Physiological Signals. Electronics, 13(15), 3019.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Video-evoked method… six suitable video segments were selected,,-,-,-,Tomi,,,
176,1,10.1109/TAFFC.2023.3315973,"Shui, X., Lin, R., Luo, Z., Lin, B., Mao, X., Li, H., ... & Zhang, D. (2023). Bodily electrodermal representations for affective computing. IEEE Transactions on Affective Computing, 15(3), 1018-1025.",-,x,-,-,-,x,IAPS,x,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,Each video clip lasted approximately 1 minute and 60 seconds.,-,12 m 00 s,-,Tomi,,,
177,1,10.1109/HRI53351.2022.9889545,"Mohamed, Y., Ballardini, G., Parreira, M. T., Lemaignan, S., & Leite, I. (2022, March). Automatic frustration detection using thermal imaging. In 2022 17th ACM/IEEE International Conference on Human-Robot Interaction (HRI) (pp. 451-459). IEEE.",x,x,x,-,x,,Multple techniques,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Failure-induced quiz & dual-task cognitive-load game with NAO robot,Participants watched a series of emotional video clips designed to elicit specific emotional states.,13 m 00 s,-,-,-,Tomi,,,
178,1,10.3389/fpsyg.2023.1293513,"Başaran, O. T., Can, Y. S., André, E., & Ersoy, C. (2024). Relieving the burden of intensive labeling for stress monitoring in the wild by using semi-supervised learning. Frontiers in Psychology, 14, 1293513.",-,-,-,-,x,-,TSST,-,-,-,-,-,-,-,-,-,x,-,-,-,-,-,-,-,speech/math,5‑min speech about qualifications + 5‑min serial subtraction in front of neutral evaluators,10 m 00 s,-,-,-,Tomi,,,
179,1,10.1145/3544793.3563427,"Alchieri, L., Abdalazim, N., Alecci, L., Gashi, S., Di Lascio, E., & Santini, S. (2022, September). On the impact of lateralization in physiological signals from wearable sensors. In Adjunct Proceedings of the 2022 ACM International Joint Conference on Pervasive and Ubiquitous Computing and the 2022 ACM International Symposium on Wearable Computers (pp. 472-477).",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10‑minute compilation of 10 funny YouTube clips designed to elicit natural laughter,-,7–151 s,69 s,-,Tomi,,,
180,1,10.3390/s23020963,"Stržinar, Ž., Sanchis, A., Ledezma, A., Sipele, O., Pregelj, B., & Škrjanc, I. (2023). Stress detection using frequency spectrum analysis of wrist-measured electrodermal activity. Sensors, 23(2), 963.",x,x,x,-,x,x,TSST; Video Stimuli; guided meditation,-,x,-,-,-,-,x,-,-,x,-,x,-,-,-,-,-,speech/math,Lab protocol: neutral baseline → amusing video clips → Trier Social Stress Test (speech + mental arithmetic) → guided breathing meditation,392 s (video) / ≈ 600 s (TSST),392 s – 10 min,-,-,Tomi,,,
181,1,10.1016/j.bspc.2021.102756,"Acevedo, C. M. D., Gómez, J. K. C., & Rojas, C. A. A. (2021). Academic stress detection on university students during COVID-19 outbreak by using an electronic nose and the galvanic skin response. Biomedical Signal Processing and Control, 68, 102756.",,,,,x,,Virtual-exam academic-stress protocol,,,,,,,,,,,,,,,,,,Academic task,Samples were collected while the students were presenting a virtual exam; relaxation samples were gathered once the students finished the exam,05 m 00 s,,,,Tomi,,,
182,1,10.1109/ACII52823.2021.9597442,"Elalamy, R., Fanourakis, M., & Chanel, G. (2021, September). Multi-modal emotion recognition using recurrence plots and transfer learning on physiological signals. In 2021 9th International Conference on Affective Computing and Intelligent Interaction (ACII) (pp. 1-7). IEEE.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants passively watched 40 one-minute music-video excerpts intended to elicit emotions,01 m 00 s,-,-,-,Tomi,,,
182,2,10.1109/ACII52823.2021.9597442,"Elalamy, R., Fanourakis, M., & Chanel, G. (2021, September). Multi-modal emotion recognition using recurrence plots and transfer learning on physiological signals. In 2021 9th International Conference on Affective Computing and Intelligent Interaction (ACII) (pp. 1-7). IEEE.",x,x,x,-,-,x,Video Stimuli,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Participants watched 16 short clips (51–150 s) and 4 long excerpts (14–24 min) selected to cover the four quadrants of the valence–arousal space ​,-,00 m 51 s – 02 m 30 s,01 m 27 s (μ = 86.7 s),-,Tomi,,,
